YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345,最高温度℃,最低温度℃平均温度℃相对湿度(平均),,,降雨量（mm）
20140101,4454.57872,4347.689248,4234.124224,4145.332192,4070.123584,3960.793312,3897.85888,3825.936928,3744.27856,3691.638208,3626.362624,3576.529408,3519.144256,3482.543584,3460.556896,3421.156288,3406.303744,3359.548288,3336.43984,3306.11824,3299.989888,3275.184544,3266.513632,3243.046048,3204.844864,3189.328,3170.319808,3143.485504,3140.1304,3150.537568,3146.844256,3101.701312,3082.38016,3096.92176,3183.646048,3232.48816,3305.362624,3367.100512,3404.86864,3466.697056,3514.483072,3563.698048,3619.105504,3639.746368,3705.617536,3707.49856,3714.930592,3663.263584,3566.094976,3448.278688,3376.69984,3313.369888,3235.307776,3175.876768,3133.58176,3123.457408,3094.074304,3082.022944,3072.137248,3070.714624,3054.56032,3088.16128,3112.189888,3148.746688,3225.857536,3322.791232,3390.797536,3438.786976,3508.446688,3609.083584,3708.951712,3853.669408,3999.323104,4208.20096,4250.4616,4221.789088,4215.149728,4187.422144,4197.642304,4156.330912,4182.608128,4184.08,4227.229888,4251.209728,4220.827648,4232.448928,4223.731552,4174.090432,4095.713152,4035.992032,3918.482464,3781.148608,3640.665664,3459.625504,3322.636768,3178.754944,20.7,9.3,14.3,40,0
20140102,3058.0792,3002.46928,2923.39888,2834.803264,2794.843552,2718.941152,2675.15872,2642.727808,2595.490048,2573.45872,2544.80848,2534.526208,2510.92144,2498.428,2476.800832,2478.069568,2470.603552,2469.126208,2478.685024,2487.3592,2504.493952,2531.648608,2578.19056,2631.41872,2702.573632,2858.56,2948.298016,3135.46816,3371.557408,3738.277408,4087.746208,4580.035936,5632.895776,6616.795936,6979.632352,7221.463744,7369.512352,7523.222464,7606.749088,7708.248928,7769.148928,7859.114656,7941.484864,7983.933952,8000.371552,7998.108928,7806.491392,7499.295136,6593.265184,5986.125184,5904.168928,5892.61984,5937.133312,6117.666208,6628.542784,7279.693792,7423.77904,7581.916096,7612.52128,7658.910112,7681.584064,7723.962304,7788.567808,7844.1784,7915.972192,7999.455136,8035.43872,8034.527488,7968.85888,7862.057536,7423.602784,7075.794016,7095.688768,7356.47968,7648.411072,7897.97968,7944.622144,7962.528928,7922.53888,7836.692512,7734.603424,7710.174016,7702.317376,7672.207648,7554.657856,7443.249088,7326.290272,7160.332672,6977.223424,6800.786368,6593.112352,6335.596096,6116.626528,5841.635296,5572.43872,5323.625344,20.3,10.2,15,55,0
20140103,5167.669408,5031.4384,4955.894656,4898.783104,4828.113472,4786.595776,4723.741984,4682.113792,4637.212672,4611.805024,4592.516896,4558.873312,4535.602624,4489.306528,4472.942944,4457.989408,4434.454816,4432.717216,4395.62176,4398.784864,4393.143424,4387.608928,4396.1584,4464.595456,4489.248448,4592.137216,4643.66032,4779.369088,4914.1384,5180.238016,5430.630592,5734.964704,6480.695296,7403.5216,7737.113632,7943.911072,8029.186528,8102.997856,8168.893792,8227.444384,8296.071232,8357.192512,8402.40064,8421.06064,8407.37872,8373.226528,8147.03968,7765.237216,6780.472672,6197.072992,6163.752832,6139.075936,6218.427808,6421.364224,6943.935136,7630.525984,7793.397856,7937.591392,7969.274656,7996.214656,8068.037536,8114.330272,8151.856576,8190.077536,8254.210912,8327.565664,8349.266848,8334.989728,8232.724384,8103.103744,7596.427648,7233.477376,7268.926528,7557.303424,7830.786208,8117.727808,8149.547488,8180.007808,8124.950272,8043.325984,7933.874656,7888.49872,7877.607328,7855.389088,7738.87984,7610.027488,7475.437696,7346.827168,7170.235936,7017.487168,6806.562784,6544.28032,6283.728448,6002.557216,5773.743904,5488.816576,23.9,14.4,18.9,64,0
20140104,5303.034976,5174.028448,5106.044224,5035.110592,4968.509728,4920.951232,4859.16112,4810.208128,4749.947488,4727.98144,4709.017216,4681.182784,4643.35888,4583.791552,4547.587168,4537.776256,4507.025344,4491.072832,4485.642304,4469.63968,4470.38128,4489.23856,4495.353472,4519.802944,4527.068608,4602.134656,4648.035136,4720.96048,4853.673952,5072.582944,5351.812672,5662.044064,6427.49824,7338.603424,7666.216576,7885.177216,7976.807488,8078.522464,8131.115296,8207.931232,8258.470048,8317.271872,8369.889088,8391.353152,8380.497856,8350.79872,8134.905664,7762.025344,6768.366208,6206.266528,6163.066048,6181.153792,6249.009088,6411.343264,6933.695296,7604.714656,7749.391072,7859.38,7898.314816,7933.92016,7949.788768,8007.88,8033.183104,8066.925664,8132.06128,8211.443104,8217.20128,8197.064704,8119.974976,7950.325984,7415.965024,7117.867648,7133.177536,7375.088608,7577.094016,7757.926528,7764.51856,7769.97904,7727.934976,7638.451552,7522.7584,7513.531552,7488.954976,7471.976416,7354.945984,7290.463744,7194.58144,7072.111072,6917.789728,6778.64128,6628.203424,6431.883904,6190.617856,5915.609728,5659.450912,5449.744384,20.8,14.7,17.9,47,0
20140105,5266.497856,5168.934016,5088.235456,5016.970912,4939.062784,4891.457056,4834.107328,4776.654016,4734.427648,4705.629088,4673.253952,4644.729088,4580.986528,4546.592512,4520.183104,4512.30112,4484.533312,4471.063744,4454.305984,4414.332832,4434.005344,4425.673312,4421.811232,4424.589088,4451.710432,4494.408928,4526.137216,4547.471392,4616.106688,4798.257376,4948.284544,5216.849248,5804.772352,6485.753632,6731.54128,6897.805984,6982.992832,7077.111232,7132.207648,7203.616576,7271.527168,7326.002464,7383.84112,7399.602784,7410.031072,7412.725984,7258.532512,6936.170272,6134.268448,5719.15888,5665.406368,5662.336096,5677.295296,5801.38,6151.574176,6660.888928,6760.144864,6870.490048,6876.037696,6890.131072,6902.137216,6927.734656,6970.951552,7016.006368,7087.332832,7176.694816,7185.915136,7192.334656,7135.157536,7052.082784,6687.730912,6466.89856,6473.85904,6583.50112,6698.582464,6730.488448,6686.152192,6649.122784,6591.104704,6519.851392,6465.556576,6472.549888,6508.736416,6494.084704,6448.81888,6418.765984,6351.832192,6262.884064,6145.78096,6033.036736,5887.530112,5725.365664,5527.555936,5303.172352,5108.911072,4924.946368,20.1,10.8,15.3,38,0
20140106,4802.20144,4682.142784,4636.184224,4594.9384,4526.257216,4483.273792,4421.294176,4381.943104,4332.882784,4308.689728,4288.865344,4272.057376,4236.072832,4221.950272,4184.167168,4154.934496,4143.02128,4135.136896,4125.347488,4110.03856,4117.42,4132.667008,4141.632352,4188.597376,4213.663744,4341.571552,4407.002464,4506.045664,4661.364064,4952.96176,5189.766688,5572.343584,6401.193952,7394.92,7653.948928,7895.763904,7969.291072,8088.934336,8144.324704,8245.82128,8305.005664,8339.728768,8383.805344,8400.503104,8390.126848,8361.414976,8166.784384,7756.666048,6759.625024,6217.6408,6176.071552,6146.748448,6223.656256,6404.994016,6902.144704,7618.851232,7780.045984,7939.692352,7997.776096,7988.952352,8018.564704,8064.823744,8104.425664,8149.134976,8244.59872,8299.504384,8327.564704,8304.085984,8211.252832,8090.246848,7575.897856,7226.502784,7243.775296,7532.46016,7836.371392,8123.44,8163.388768,8210.306848,8174.149408,8073.855616,7960.245184,7945.636576,7936.985344,7872.274816,7741.942624,7663.525984,7519.056256,7379.435296,7165.542784,6959.94016,6733.214656,6459.933472,6193.675936,5887.72,5636.60032,5418.067168,21.3,11.5,15.8,59,0
20140107,5238.6616,5144.348608,5053.242784,5005.105024,4946.323744,4917.994336,4868.50144,4813.795456,4788.088768,4741.234336,4724.882944,4698.390592,4655.99968,4638.328288,4609.883104,4609.507168,4564.495936,4551.32032,4523.537536,4526.954656,4518.522784,4541.922784,4559.864704,4595.26096,4615.53856,4709.112832,4779.345664,4879.837696,5016.252832,5238.006208,5493.131392,5812.7416,6620.10112,7475.167648,7801.35904,8006.534656,8087.572192,8190.513472,8264.512192,8326.29808,8362.234336,8417.346208,8453.883424,8472.067168,8442.784384,8420.871232,8196.14032,7816.257856,6764.27872,6245.930752,6216.952192,6214.363744,6277.295296,6448.416256,6980.204704,7669.606528,7851.282784,8019.76096,8070.826528,8075.190592,8127.332512,8167.126528,8206.549408,8268.144064,8356.570912,8440.785664,8480.363104,8481.449728,8375.354656,8226.484384,7676.462464,7356.825184,7388.616256,7651.962304,7932.312352,8169.234976,8191.211872,8223.63808,8187.12064,8119.565344,7982.268928,7949.950048,7956.113632,7926.770272,7779.86032,7677.886048,7524.273952,7381.828768,7170.465184,7014.447328,6775.750048,6511.2616,6223.188928,5964.142624,5717.690272,5471.417536,22.9,15.3,18.2,67,0
20140108,5272.985344,5182.809088,5105.197216,5056.130272,4990.134016,4945.74064,4883.215456,4843.834816,4797.957856,4785.676096,4731.826048,4711.304704,4685.567488,4661.92048,4629.637216,4611.168448,4591.66144,4570.762144,4559.026048,4551.123904,4548.34192,4565.403424,4586.245024,4628.82064,4660.537216,4723.283104,4807.014016,4904.8816,5044.192192,5243.214016,5484.805984,5825.131072,6576.947488,7503.562624,7815.822784,8012.273152,8136.090592,8248.62064,8318.850592,8389.92064,8441.826208,8484.89968,8533.474336,8546.52064,8527.451872,8516.74192,8292.323104,7930.289728,6960.396256,6338.982784,6296.265664,6291.429088,6359.556256,6550.757536,7086.742624,7752.696256,7943.970112,8079.32032,8133.64,8167.5616,8210.429728,8228.3416,8288.49808,8333.472832,8420.764384,8500.695616,8531.01904,8523.426208,8431.247488,8302.175296,7777.388608,7440.215296,7450.792672,7682.543584,7955.543584,8172.251872,8194.597216,8229.851872,8180.82064,8104.870048,7960.112512,7954.662784,7961.004064,7912.812832,7773.234976,7665.906208,7534.596256,7372.790272,7147.9816,6984.311392,6746.447488,6506.925184,6232.032832,5949.809728,5675.210272,5444.871712,19.7,14.6,17.5,83,0.7
20140109,5252.385184,5157.550912,5067.61984,5038.30192,4968.209728,4937.456896,4885.737856,4860.368608,4791.270592,4764.888448,4738.833952,4711.482304,4684.451872,4670.086048,4648.765504,4612.935616,4599.262144,4570.072192,4555.508608,4552.686208,4544.30128,4552.989088,4552.373152,4601.00128,4638.635296,4709.3416,4788.706528,4879.849888,5032.04128,5270.546368,5512.3216,5835.464704,6681.74032,7467.894976,7823.90032,7988.72032,8092.136896,8190.531232,8255.487808,8314.12192,8381.19808,8416.145344,8483.774656,8498.717536,8496.045664,8465.917216,8246.606848,7875.344704,6925.006048,6292.274176,6249.936256,6257.770912,6318.448288,6518.19856,7044.724864,7706.805184,7892.868928,8008.531552,8046.476896,8084.604064,8089.831552,8161.949728,8207.97904,8250.191872,8316.428128,8392.242784,8447.84032,8421.58192,8344.232512,8216.04064,7696.597216,7406.82112,7409.214016,7629.344704,7913.957536,8204.606848,8231.344384,8244.605344,8202.794656,8137.363744,7984.37968,7990.892512,7968.836416,7942.843744,7771.264864,7683.733792,7581.603904,7407.670912,7193.6584,7037.862784,6776.692192,6553.175296,6283.40032,5986.356256,5717.377216,5504.283424,15.3,11.6,13.7,59,0
20140110,5308.24048,5217.747808,5132.034016,5069.510752,5008.425664,4980.656896,4919.76016,4869.164704,4821.254656,4803.03856,4756.096096,4731.76192,4721.170912,4689.395776,4672.669888,4642.955296,4616.92096,4586.845504,4575.828448,4563.933472,4544.385184,4572.485344,4597.994656,4607.217856,4656.605344,4741.942144,4828.709728,4929.122464,5058.674656,5289.928768,5555.733472,5866.582624,6667.027648,7545.623584,7864.392352,8034.356896,8149.232512,8252.330272,8305.49872,8375.110048,8413.65808,8447.906848,8509.090912,8524.777216,8508.17968,8469.8584,8234.125024,7883.570272,6822.048928,6303.129088,6257.312992,6270.347488,6317.44,6513.565984,6987.787168,7669.333792,7832.842144,7979.38096,8018.345344,8051.14192,8070.504064,8094.688768,8143.88032,8174.325664,8243.510272,8305.188448,8304.935296,8300.11936,8200.294336,8069.542144,7510.672672,7203.032512,7195.887808,7499.017696,7815.92128,8070.244384,8106.56032,8114.0584,8065.009408,8011.234336,7869.84016,7847.042464,7841.964064,7804.387648,7674.822784,7562.992672,7469.470912,7369.252192,7159.010272,7012.954816,6813.117856,6565.212832,6298.8808,6052.248928,5760.297376,5555.442784,17.4,11.6,13.9,60,0
